lon,lat
22.64609,113.81379,
22.64609,113.81377, 
22.6461,113.81377, 
22.64609,113.81377, 
22.64609,113.81377, 
22.64609,113.81377, 
22.64609,113.81377, 
22.64609,113.81377, 
22.64609,113.81377, 
22.64609,113.81377, 
22.64609,113.81378, 
22.64609,113.81378, 
22.6461,113.81379, 
22.6461,113.81379, 
22.6461,113.8138, 
22.6461,113.8138, 
22.6461,113.81381, 
22.6461,113.81381, 
22.6461,113.81382, 
22.6461,113.81383, 
22.6461,113.81383, 
22.64609,113.81384, 
22.64609,113.81384, 
22.64609,113.81384, 
22.64609,113.81384, 
22.64609,113.81385, 
22.64609,113.81385, 
22.64608,113.81384, 
22.64608,113.81384, 
22.64608,113.81384, 
22.64608,113.81384, 
22.64608,113.81384, 
22.64608,113.81384, 
22.64608,113.81384, 
22.64608,113.81384, 
22.64608,113.81384, 
22.64608,113.81383, 
22.64607,113.81383, 
22.64607,113.81383, 
22.64608,113.81383, 
22.64608,113.81383, 
22.64608,113.81382, 
22.64608,113.81382, 
22.64608,113.81382, 
22.64608,113.81381, 
22.64608,113.81382, 
22.64608,113.81382, 
22.64608,113.81382, 
22.64608,113.81382, 
22.64608,113.81381, 
22.64608,113.81381, 
22.64608,113.81381, 
22.64608,113.81381, 
22.64608,113.81381, 
22.64608,113.81381, 
22.64608,113.81381, 
22.64608,113.81381, 
22.64608,113.81381, 
22.64608,113.81381, 
22.64608,113.81382, 
22.64608,113.81382, 
22.64609,113.81383, 
22.64608,113.81382, 
22.64608,113.81382, 
22.64608,113.81382, 
22.64609,113.81383, 
22.64609,113.81382, 
22.64609,113.81382, 
22.64609,113.81382, 
22.64609,113.81383, 
22.64609,113.81384, 
22.6461,113.81385, 
22.6461,113.81385, 
22.6461,113.81386, 
22.64608,113.8138, 
22.64608,113.8138, 
22.64608,113.8138, 
22.64608,113.81379, 
22.64608,113.81379, 
22.64609,113.81376, 
22.6461,113.81375, 
22.64611,113.81375, 
22.64611,113.81375, 
22.64612,113.81375, 
22.64612,113.81376, 
22.64612,113.81376, 
22.64612,113.81377, 
22.64612,113.81377, 
22.64612,113.81378, 
22.64612,113.81378, 
22.64612,113.81379, 
22.64611,113.81385, 
22.64611,113.81387, 
22.64611,113.81388, 
22.64611,113.81389, 
22.64611,113.8139, 
22.64611,113.8139, 
22.64611,113.8139, 
22.64611,113.8139, 
22.64611,113.81391, 
22.64611,113.81391, 
22.64611,113.81391, 
22.64611,113.81392, 
22.64611,113.81392, 
22.6461,113.81393, 
22.6461,113.81391, 
22.6461,113.81391, 
22.6461,113.81391, 
22.6461,113.81392, 
22.6461,113.81392, 
22.64609,113.81391, 
22.64609,113.81391, 
22.64609,113.81392, 
22.64609,113.81392, 
22.64609,113.81393, 
22.64609,113.81393, 
22.64609,113.81394, 
22.6461,113.81394, 
22.6461,113.81394, 
22.6461,113.81395, 
22.6461,113.81395, 
22.6461,113.81395, 
22.6461,113.81395, 
22.6461,113.81395, 
22.6461,113.81396, 
22.64611,113.81397, 
22.64611,113.81399, 
22.64611,113.81399, 
22.64611,113.814, 
22.64612,113.81401, 
22.64611,113.81401, 
22.64612,113.81401, 
22.64612,113.81402, 
22.64612,113.81403, 
22.64612,113.81403, 
22.64612,113.81403, 
22.64611,113.81402, 
22.64611,113.81402, 
22.64611,113.81402, 
22.64611,113.81402, 
22.64611,113.81402, 
22.64611,113.81402, 
22.64611,113.81402, 
22.64611,113.81402, 
22.6461,113.81401, 
22.64611,113.81401, 
22.6461,113.81401, 
22.6461,113.814, 
22.6461,113.814, 
22.6461,113.814, 
22.6461,113.814, 
22.6461,113.814, 
22.6461,113.81399, 
22.6461,113.814, 
22.6461,113.814, 
22.6461,113.814, 
22.6461,113.81399, 
22.6461,113.81399, 
22.6461,113.81399, 
22.6461,113.814, 
22.6461,113.814, 
22.6461,113.814, 
22.6461,113.814, 
22.6461,113.814, 
22.6461,113.814, 
22.6461,113.81401, 
22.64611,113.81401, 
22.6461,113.814, 
22.64611,113.81399, 
22.64611,113.81399, 
22.64611,113.81399, 
22.64611,113.81399, 
22.64611,113.81399, 
22.64611,113.81399, 
22.64611,113.81399, 
22.64611,113.81399, 
22.64611,113.81399, 
22.64611,113.81399, 
22.64611,113.81399, 
22.64611,113.81399, 
22.64611,113.81399, 
22.64612,113.81399, 
22.64612,113.81399, 
22.64612,113.81399, 
22.64612,113.81399, 
22.64612,113.81399, 
22.64612,113.81399, 
22.64612,113.81399, 
22.64612,113.81399, 
22.64612,113.81399, 
22.64612,113.81399, 
22.64612,113.81399, 
22.64612,113.81399, 
22.64612,113.81399, 
22.64612,113.81399, 
22.64612,113.81399, 
22.64612,113.81399, 
22.64612,113.81399, 
22.64612,113.81398, 
22.64612,113.81398, 
22.64612,113.81398, 
22.64612,113.81397, 
22.64612,113.81397, 
22.64612,113.81397, 
22.64612,113.81397, 
22.64612,113.81397, 
22.64612,113.81396, 
22.64612,113.81396, 
22.64612,113.81396, 
22.64612,113.81396, 
22.64612,113.81396, 
22.64612,113.81396, 
22.64612,113.81396, 
22.64611,113.81395, 
22.64611,113.81395, 
22.64611,113.81395, 
22.64611,113.81394, 
22.64611,113.81394, 
